objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
12,321,42,003,111500,4,420031115004,Block Group 4,G5030,S,273819,0,+40.4612717,-079.9187769,7027.65869296,80,16201454,136797.97928478,17,2099,East Liberty,29,373.65,0.581,2,25,12,22746.8768396,16201453.7079,15,Ose Akinlotan,9ccdd4df-8786-48a4-8af3-8f62413abdf9,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:38,,16202087.2489014,22765.4664303767
13,13,42,003,563100,2,420035631002,Block Group 2,G5030,S,880129,0,+40.4320100,-080.0530374,14820.1491893,12,19295586,198927.41614216,66,2148,Westwood,89,445.009,0.692,5,6,4,20939.3851045,19295586.8644,15,Thomas Scharff,fe33ba7b-19fb-4d21-8600-5b4c71dbe539,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:12,,19295050.6885986,20933.4060940123
14,104,42,003,101400,4,420031014004,Block Group 4,G5030,S,149377,0,+40.4799173,-079.9300799,6038.17837146,44,10650824,136797.97928478,6,2088,Morningside,52,245.637,0.382,2,6,12,27033.4541634,10650824.4307,15,Ose Akinlotan,a9ac885b-095f-4467-a3e3-0938fc05904b,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:40,,10650916.0960083,27030.6293214981
15,246,42,003,310200,4,420033102004,Block Group 4,G5030,S,1047140,0,+40.3745282,-079.9191876,15834.1152842,73,27425090,87456.39013128,95,2177,Lincoln Place,46,632.497,0.984,4,113,8,27507.9002534,27425088.795,15,Thomas Scharff,8edc0195-2966-4556-a5fd-706c320c0280,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:28,,27419087.2033081,27506.9698383458
16,0, , , , , , , , ,0,0, , ,0,1292,,80995.80627227,0,0,Perry North,61,0,0,0,0,2,0,0,15,Stephanie Joy Bermudo,529dca14-f7c2-4e38-8e1e-dee1b31426c2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:57:28,,34667400.0274658,31289.3844096414
17,11,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,13757.3320259,10,8739570,80995.80627227,10,2092,Northview Heights,58,201.558,0.313,1,113,1,13813.6375352,8739570.2277,15,Stephanie Joy Bermudo,afe5a435-c059-49b4-9736-5a284501ab5d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:53,,8743618.44940186,13811.9171691078
18,292,42,003,130200,2,420031302002,Block Group 2,G5030,S,186305,0,+40.4594767,-079.8955903,5810.23622423,76,12103512,136797.97928478,33,2115,Homewood North,41,279.14,0.434,2,57,11,16962.0116448,12103511.7943,15,Ose Akinlotan,ae461c62-e950-43e0-b2a1-7cef98be5aee,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:13,,12104670.0999146,17057.9123664086
19,202,42,003,561600,1,420035616001,Block Group 1,G5030,S,294192,0,+40.4168800,-079.9615214,10586.5307517,65,3667921.5,198927.41614216,83,2165,Arlington Heights,5,84.592,0.132,4,113,7,10585.5381722,3667921.40983,15,Thomas Scharff,12942113-8e97-4056-a9aa-2153476c947d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:35,,3667473.19665527,10586.5307897878
20,72,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,10355.0742837,32,11984375,136797.97928478,20,2102,Lower Lawrenceville,48,276.392,0.43,2,19,13,15396.9649665,11984374.8838,15,Ose Akinlotan,767995c6-6930-40f5-9013-709a90b5238d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:30,,11984354.2069092,15396.2493592701
21,114,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,5462.85309992,45,12407882,136797.97928478,23,2105,Larimer,45,286.16,0.445,2,21,12,15726.185821,12407881.2955,15,Ose Akinlotan,6d679b4d-248d-4c31-b0db-7bc6178a2902,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:23,,12408545.2206421,15727.7050629125
22,35,42,003,980000,1,420039800001,Block Group 1,G5030,S,637235,237268,+40.4875790,-079.8907469,13581.8750903,21,7809355.5,136797.97928478,5,2087,Lincoln-Lemington-Belmar,47,180.105,0.28,2,24,11,13582.9721502,7809355.83398,15,Ose Akinlotan,c63ba635-c98b-4972-b27a-7202f727a438,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:25,,50511795.21521,41668.3866531687
23,25,42,003,010300,2,420030103002,Block Group 2,G5030,S,267511,0,+40.4369004,-079.9903987,6834.80662477,18,9127700,136797.97928478,67,2149,Bluff,11,210.51,0.327,3,57,15,15723.1745834,9127699.90244,15,Ose Akinlotan,4be74de1-0d1d-4eb4-bd28-1a3ed6082592,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:51,,9127071.90679932,15724.4309164243
24,340,42,003,563000,1,420035630001,Block Group 1,G5030,S,2520263,0,+40.4507815,-080.0847808,26392.7256493,86,27002274,198927.41614216,37,2119,Fairywood,32,622.746,0.969,5,21,4,26410.7383239,27002274.2666,15,Thomas Scharff,8ea999f0-868e-44ff-bd8f-1ccc3ee8b099,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:48,,27004014.6887207,26411.8382902221
25,102,42,003,191700,1,420031917001,Block Group 1,G5030,S,1471688,0,+40.4043578,-080.0109294,24549.4301741,43,58044672,198927.41614216,89,2171,Brookline,14,1338.669,2.082,4,81,5,37257.9301961,58044672.6034,15,Thomas Scharff,6a1e43de-4528-43e2-bb4e-87e430db5f05,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:58,,58028848.3545227,37265.2988756238
26,221,42,003,562900,2,420035629002,Block Group 2,G5030,S,4488597,20843,+40.3937604,-079.9499181,56370.8529134,70,48800708,87456.39013128,91,2173,Hays,38,1125.478,1.75,4,24,8,56384.6690814,48800707.2454,15,Thomas Scharff,b8f533f0-db52-404f-afea-e280bddfbd96,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:04,,48800630.1711121,56384.7631506709
27,14,42,003,562400,5,420035624005,Block Group 5,G5030,S,138709,0,+40.4197360,-079.9991617,6015.55620698,13,11723429,198927.41614216,81,2163,Beltzhoover,9,270.374,0.421,4,113,6,13432.4122172,11723428.2416,15,Thomas Scharff,aaae03dc-1966-4b81-b9dd-55305b44ac94,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:45,,11723616.9032288,13433.0279763113
28,48,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178,0,+40.4216327,-079.9353993,5794.40171972,25,21551120,136797.97928478,75,2157,Greenfield,37,497.028,0.773,3,21,9,22518.2704223,21551119.9814,15,Ose Akinlotan,7e0b96af-f08c-4e73-b6e3-938113d9303d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:02,,21546550.4393616,22527.7301595877
29,325,42,003,562800,1,420035628001,Block Group 1,G5030,S,1122222,0,+40.4202222,-080.0745718,18432.5428099,81,12049543,198927.41614216,78,2160,East Carnegie,27,277.895,0.432,5,94,4,18475.5630563,12049542.7323,15,Thomas Scharff,4158f5a0-e271-4577-a9a4-c96e7da3b7d0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:32,,12049491.333374,18475.146209713
30,119,42,003,563200,1,420035632001,Block Group 1,G5030,S,316619,138447,+40.4496580,-079.9981098,9418.51640882,46,8455805,80995.80627227,51,2133,North Shore,57,195.014,0.303,1,18,16,17994.0875462,8455804.95408,15,Stephanie Joy Bermudo,e729facf-e014-477d-8fec-b4ec4db47b00,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:52,,8464134.65496826,18012.2604146138
31,19,42,003,180300,3,420031803003,Block Group 3,G5030,S,140530,0,+40.4191918,-079.9927314,6293.7919057,16,8221419.5,198927.41614216,76,2158,Allentown,3,189.608,0.295,4,23,6,16208.5648002,8221419.7352,15,Thomas Scharff,39edd83e-9196-42e0-af7a-33e64c2ac28e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:22,,8220977.07250977,16218.9559262242
32,120,42,003,562400,1,420035624001,Block Group 1,G5030,S,818084,0,+40.4077250,-080.0012233,15887.0065035,47,8738354,198927.41614216,86,2168,Bon Air,12,201.53,0.313,4,57,6,15889.5671438,8738354.36946,15,Thomas Scharff,d4d1eaaf-472c-4f97-8cc6-37be23017035,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:53,,8751989.70266724,15887.0064632882
33,152,42,003,562700,1,420035627001,Block Group 1,G5030,S,374415,0,+40.4507843,-080.0144032,8746.40518879,56,3938870.2,80995.80627227,49,2131,Allegheny West,2,90.841,0.141,1,21,3,8658.04205132,3938870.37673,15,Stephanie Joy Bermudo,bf2fe94e-5682-4aac-bded-a8dc3a2b1f88,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:18,,3938762.53491211,8746.40533472515
34,184,42,003,281400,1,420032814001,Block Group 1,G5030,S,348105,0,+40.4496310,-080.0569283,8486.84811855,62,21011160,198927.41614216,52,2134,Crafton Heights,23,484.575,0.754,5,23,4,21289.3838091,21011159.5373,15,Thomas Scharff,47874d9d-dda9-4b01-bb76-339dd49f6e3a,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:20,,21002843.1440125,21310.6844741783
35,89,42,003,210700,2,420032107002,Block Group 2,G5030,S,359658,0,+40.4578695,-080.0264589,9100.227534,40,7785965.5,80995.80627227,34,2116,Manchester,49,179.566,0.279,1,23,3,12528.4419932,7785965.49733,15,Stephanie Joy Bermudo,5dedc9e9-339f-44cf-8d65-b78b300074c9,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:32,,7786246.77209473,12521.8751553058
36,240,42,003,980900,1,420039809001,Block Group 1,G5030,S,1453388,854869,+40.4659231,-080.0458881,13293.0104401,72,6426350.5,80995.80627227,19,2101,Marshall-Shadeland,50,148.209,0.231,1,0,2,13293.0104401,6426350.59395,15,Stephanie Joy Bermudo,8ce6e024-1876-4e90-8b25-6c4130cce88e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:36,,34949162.6577148,50372.656980142
37,84,42,003,110200,1,420031102001,Block Group 1,G5030,S,144791,0,+40.4780209,-079.9195862,5475.12806168,38,32419862,136797.97928478,9,2091,Highland Park,40,747.691,1.163,2,94,12,23264.5616983,32419862.5289,15,Ose Akinlotan,ffee42fd-382f-4ff0-81b3-63ab8cb0a201,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:11,,32419819.8488159,23261.7200983146
38,326,42,003,310300,1,420033103001,Block Group 1,G5030,S,2048522,0,+40.3879201,-079.9225537,22945.9372883,82,22145166,87456.39013128,93,2175,New Homestead,55,510.728,0.794,4,94,8,22933.3239199,22145165.324,15,Thomas Scharff,120c1315-5813-42fa-9303-b7c094d0c6ee,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:46,,22151239.9016418,24388.2924557699
39,58,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,7703.4461902,27,7218352,80995.80627227,38,2120,Central Northside,19,166.475,0.259,1,6,3,14371.7363926,7218351.66088,15,Stephanie Joy Bermudo,cae5ecf1-765c-4428-ad17-a0399487743e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:11,,7219560.54589844,14391.314227819
40,197,42,003,060500,2,420030605002,Block Group 2,G5030,S,255123,0,+40.4586040,-079.9613007,9025.77501356,63,7097053,136797.97928478,40,2122,Polish Hill,65,163.677,0.255,2,6,13,14866.1623252,7097053.08855,15,Ose Akinlotan,9bbb630b-9bc3-470a-b549-083dab564c97,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:18,,7097882.31091309,14887.0336467644
41,251,42,003,320400,3,420033204003,Block Group 3,G5030,S,196086,0,+40.3911959,-079.9952543,10313.2123506,74,23393388,198927.41614216,94,2176,Overbrook,60,539.515,0.839,4,24,5,31957.5032266,23393386.8576,15,Thomas Scharff,2be016ee-cc48-420d-8ce6-5bfbe1bebe95,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:01:26,,23386886.2763367,31964.8448635183
42,140,42,003,080700,2,420030807002,Block Group 2,G5030,S,143135,0,+40.4592964,-079.9351049,5199.2611236,50,2961361.7,136797.97928478,31,2113,Friendship,34,68.297,0.106,2,57,12,7707.14997437,2961361.71379,15,Ose Akinlotan,e426509e-429b-4ef5-a543-558bd0a6d588,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:53,,2960456.47027588,7707.16064713024
43,308,42,003,120700,2,420031207002,Block Group 2,G5030,S,200053,0,+40.4569713,-079.9050701,6871.68807514,78,5542252.5,136797.97928478,36,2118,Homewood West,43,127.819,0.199,2,81,11,10087.8773129,5542252.62221,15,Ose Akinlotan,2c773a5a-f003-44b9-b7c6-26b63bea6663,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:17,,5548059.30914307,10086.3946305913
44,6,42,003,020100,4,420030201004,Block Group 4,G5030,S,281715,0,+40.4406777,-079.9892121,7297.91973236,6,17846686,136797.97928478,58,2140,Central Business District,17,411.593,0.64,1,24,16,23034.9547029,17846685.4874,15,Ose Akinlotan & Stephanie Joy Bermudo,31b560f2-ca21-41de-ac55-0fe3fc8048e5,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:06,,17845894.405365,23034.9728311653
45,64,42,003,563200,3,420035632003,Block Group 3,G5030,S,315029,0,+40.4572599,-079.9976543,11102.6286855,30,6577919.5,80995.80627227,39,2121,East Allegheny,26,151.705,0.236,1,57,3,14425.9106235,6577919.63035,15,Stephanie Joy Bermudo,e15457c5-efd5-46be-9723-a8571e32e6c6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:30,,6580347.74127197,14429.4638873094
46,178,42,003,562700,2,420035627002,Block Group 2,G5030,S,535964,5234,+40.4515765,-080.0053403,10563.7916968,60,5840713,80995.80627227,46,2128,Allegheny Center,1,134.703,0.21,1,19,3,10570.4148273,5840713.26537,15,Stephanie Joy Bermudo,beebd26a-d3ff-4214-987c-5d530e8dec63,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:12,,5831492.8157959,10563.7914589071
47,0,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195,0,+40.4406805,-079.9542332,7988.37939146,1,7843108,136797.97928478,63,2145,Central Oakland,20,180.883,0.281,3,113,14,11526.8632219,7843108.22191,15,Ose Akinlotan,65e4f81f-d61f-4219-ad62-b4167006f5d6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:13,,7842996.64160156,11525.9045464277
48,181,42,003,270800,3,420032708003,Block Group 3,G5030,S,633737,0,+40.4865869,-080.0297229,13818.0976323,61,31143860,80995.80627227,4,2086,Brighton Heights,13,718.262,1.117,1,23,2,26060.6841316,31143860.7521,15,Stephanie Joy Bermudo,25b846aa-3931-493d-a3cb-f8bf638cd3fc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:57,,31151103.5644531,26096.4423674259
49,20,42,003,170600,1,420031706001,Block Group 1,G5030,S,326725,0,+40.4249025,-079.9876098,14495.7931028,17,19973024,198927.41614216,74,2156,South Side Slopes,73,460.632,0.716,4,6,7,26532.6997121,19973023.112,15,Thomas Scharff,74096afd-885d-464c-abee-49aef0c9f890,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:35,,19973025.5579834,26531.3514870358
50,143,42,003,561600,2,420035616002,Block Group 2,G5030,S,863468,0,+40.4138332,-079.9632700,22763.2038638,51,13108599,198927.41614216,82,2164,Arlington,4,302.32,0.47,4,57,7,27698.1211959,13108599.1278,15,Thomas Scharff,183f541a-9d7d-4455-a5b0-19e128eadda6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:32,,13110671.8514404,27697.8478262625
51,265,42,003,563000,4,420035630004,Block Group 4,G5030,S,342793,0,+40.4578183,-080.0705756,9978.22592341,87,3683600.5,198927.41614216,30,2112,Chartiers City,21,84.954,0.132,5,21,4,9983.54978758,3683600.39436,15,Thomas Scharff,95c77a59-4b19-4108-915d-a16263a45526,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:16,,3683819.82574463,9978.22599874797
52,74,42,003,290400,3,420032904003,Block Group 3,G5030,S,275844,0,+40.3844190,-079.9867635,11617.5879718,34,46641072,198927.41614216,92,2174,Carrick,16,1075.67,1.673,4,19,5,40422.9743229,46641073.9689,15,Thomas Scharff,f3f50b28-b54f-478c-aafa-69820aeece79,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:04,,46640230.5470886,40404.4977000697
53,73,42,003,080200,2,420030802002,Block Group 2,G5030,S,92307,0,+40.4617308,-079.9522528,4036.16383327,33,19572930,136797.97928478,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.1896852,19572929.544,15,Ose Akinlotan,dfd12465-ae1b-403c-a198-8d590aa69878,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:49,,19574103.9954224,21204.3228953541
54,122,42,003,202300,4,420032023004,Block Group 4,G5030,S,835320,0,+40.4127817,-080.0357088,11460.1491262,48,27009770,198927.41614216,80,2162,Banksville,6,622.919,0.969,5,19,5,25477.7457026,27009770.5173,15,Thomas Scharff,1dd2e34c-2b3b-439f-91cb-ce687beb75f2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:37,,27021857.6481628,25241.7771548328
55,45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061,0,+40.4247086,-080.0011285,5547.08880372,24,31760998,198927.41614216,65,2147,Mount Washington,54,732.495,1.139,5,25,6,33988.8822689,31760998.0351,15,Thomas Scharff,ccdebedb-cee5-42e2-8b82-428f6bea161e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:41,,31765256.745697,34003.5249119461
56,37,42,003,130600,1,420031306001,Block Group 1,G5030,S,365630,0,+40.4521925,-079.8817225,8027.6339264,22,15092615,136797.97928478,42,2124,East Hills,28,348.077,0.541,2,6,11,22217.8045081,15092615.3468,15,Ose Akinlotan,e65da461-ecdf-4724-b35e-6fdd183e45e4,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:34,,15091463.3391724,22208.5333355137
57,15,42,003,981000,1,420039810001,Block Group 1,G5030,S,1377043,0,+40.4730821,-079.9488759,20578.3756175,14,26848464,136797.97928478,13,2095,Central Lawrenceville,18,619.199,0.963,2,24,13,25420.6493731,26848463.3819,15,Ose Akinlotan,c0bd233e-77e5-4cdf-9531-8504464b42e1,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:09,,26848138.8768921,25436.4666355805
58,32,42,003,562600,1,420035626001,Block Group 1,G5030,S,512433,0,+40.4408830,-080.0357065,18778.9912803,89,5579501,198927.41614216,60,2142,West End,87,128.679,0.2,5,81,4,18776.6566219,5579501.1068,15,Thomas Scharff,97d8216d-e6b4-4f45-91ca-a6f1e33a5214,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:09,,5579476.01898193,18778.9915130716
59,358,42,003,562500,1,420035625001,Block Group 1,G5030,S,602805,225010,+40.4627464,-080.0508428,25245.4899984,85,6409852.5,198927.41614216,25,2107,Esplen,31,147.829,0.23,5,81,4,25268.23256,6409852.2469,15,Thomas Scharff,b5463ab9-a4b8-46d6-80ff-67976bea1766,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:46,,6425357.73852539,25260.8144668056
60,75,42,003,981100,1,420039811001,Block Group 1,G5030,S,876833,0,+40.4420424,-079.9063310,14525.9016311,35,27997334,136797.97928478,54,2136,Point Breeze,63,645.695,1.004,3,6,10,25607.9691868,27997334.3753,15,Ose Akinlotan,da9e6bc6-0a88-450e-ae8d-c3a40f781a34,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:11,,27998896.3058472,25612.1636143446
61,34,42,003,562900,1,420035629001,Block Group 1,G5030,S,1385581,586785,+40.4096285,-079.9486102,29907.6112744,20,44132028,136797.97928478,77,2159,Hazelwood,39,1017.805,1.583,3,25,9,42041.4499831,44132028.3656,15,Ose Akinlotan,c30655c8-cf46-4785-88c0-33dc03480284,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:06,,44133946.489563,42027.6884306831
62,3,42,003,030500,2,420030305002,Block Group 2,G5030,S,284548,0,+40.4403871,-079.9813476,8670.42812162,4,7202139,136797.97928478,57,2139,Crawford-Roberts,24,166.101,0.258,3,19,15,15696.7592296,7202138.92257,15,Ose Akinlotan,80e5d73b-e483-4d07-8535-f93c5377dd6b,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:24,,7203337.01403809,15697.9143374195
63,38,42,003,040900,3,420030409003,Block Group 3,G5030,S,253498,0,+40.4308074,-079.9518013,7343.08226623,23,14169730,136797.97928478,68,2150,South Oakland,70,326.793,0.508,3,19,14,19242.503109,14169729.7762,15,Ose Akinlotan,7c98eb3c-13a8-4331-a0ce-fcbdbc947cfb,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:28,,14169560.9746704,19226.8195223731
64,338,42,003,050600,3,420030506003,Block Group 3,G5030,S,287852,0,+40.4507230,-079.9591365,9240.99510192,83,8722606,136797.97928478,44,2126,Upper Hill,85,201.167,0.313,3,19,15,11867.5123838,8722605.95883,15,Ose Akinlotan,1f8d0b41-1f34-4e14-b538-0b52165ba0d0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:03,,8719958.84741211,11857.0580565196
65,298,42,003,563100,3,420035631003,Block Group 3,G5030,S,928505,0,+40.4270691,-080.0344802,16308.7797482,88,10278895,198927.41614216,70,2152,Ridgemont,67,237.059,0.369,5,24,4,16268.1308904,10278895.2296,15,Thomas Scharff,133807e7-25f7-439a-a375-a405f2f4f6d2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:22,,10279196.8764954,16308.2473485607
66,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750,0,+40.4611811,-079.9859947,14534.3785992,29,10717292,80995.80627227,21,2103,Troy Hill,84,247.17,0.384,1,94,1,20630.7931601,10717291.8959,15,Stephanie Joy Bermudo,cef157ae-8465-4d17-a92d-6b967104215d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:02,,12838152.0427856,29607.5260141606
67,151,42,003,980700,1,420039807001,Block Group 1,G5030,S,563109,416134,+40.4366295,-080.0102703,21342.8810105,55,5905659.5,198927.41614216,59,2141,South Shore,71,136.201,0.212,5,19,16,21338.580466,5905659.6703,15,Thomas Scharff,d5f7d36e-e24e-4a25-8235-4c8e98ad4440,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:31,,5903799.82748413,21342.9485257523
